"Company
(Maker-if known)","Company
Location","Broad Bean
Origin","Specific Bean Origin
or Bar Name","Bean
Type","Cocoa
Percent",Rating,Flavours of Cocoa Rating System,"Review
Date",REF
Amedei,Italy,Venezuela,Porcelana,Criollo (Porcelana),70%,4,Premium,2007,111
Amedei,Italy, ,Nine,Blend,75%,4,Premium,2007,111
Amedei,Italy,Venezuela,Chuao,Trinitario,70%,5,Elite,2007,111
Amedei,Italy,Ecuador,Ecuador,Trinitario,70%,3,satisfactory,2007,123
Amedei,Italy,Jamaica,Jamaica,Trinitario,70%,3,satisfactory,2007,123
Amedei,Italy,Grenada,Grenada,Trinitario,70%,3,satisfactory,2007,123
Amedei,Italy,Venezuela,Venezuela,Trinitario (85% Criollo),70%,3.75,Praiseworthy,2007,123
Amedei,Italy,Madagascar,Madagascar,Trinitario (85% Criollo),70%,4,Premium,2007,123
Amedei,Italy,Trinidad,Trinidad,Trinitario,70%,3,satisfactory,2007,129
Amedei,Italy, ,Toscano Black,Blend,63%,3,satisfactory,2007,170
Amedei,Italy, ,Toscano Black,Blend,70%,5,Elite,2006,40
Amedei,Italy, ,Toscano Black,Blend,66%,4,Premium,2006,75
AMMA,Brazil,Brazil,Catongo,Forastero (Catongo),75%,3,satisfactory,2013,1065
AMMA,Brazil,Brazil,"Monte Alegre, 3 diff. plantations",Forastero (Parazinho),85%,3,satisfactory,2010,572
AMMA,Brazil,Brazil,"Monte Alegre, 3 diff. plantations",Forastero (Parazinho),50%,3.75,Praiseworthy,2010,572
AMMA,Brazil,Brazil,"Monte Alegre, 3 diff. plantations",Forastero (Parazinho),75%,3.75,Praiseworthy,2010,572
AMMA,Brazil,Brazil,"Monte Alegre, 3 diff. plantations",Forastero (Parazinho),60%,4,Premium,2010,572
Anahata,U.S.A.,Dominican Republic,Elvesia, ,75%,3,satisfactory,2014,1259
Animas,U.S.A.,Bolivia,Alto Beni, ,75%,3,satisfactory,2016,1852
Ara,France,Madagascar,Madagascar,Trinitario,75%,3,satisfactory,2014,1375
Ara,France,Mexico,Chiapas, ,72%,2,Disappointing,2014,1379
Ara,France,Ecuador,Equateur, ,75%,3,satisfactory,2014,1379
Ara,France,Venezuela,Trincheras, ,75%,3,satisfactory,2014,1379
Arete,U.S.A.,Trinidad,San Juan,Trinitario,70%,3,satisfactory,2016,1724
Arete,U.S.A.,Tanzania,Kokoa Kamili, ,70%,3.75,Praiseworthy,2016,1724
Arete,U.S.A.,Vietnam,Tien Giang,Trinitario,73%,3,satisfactory,2016,1900
Arete,U.S.A.,Ecuador,Hacienda Victoria, ,70%,3,satisfactory,2016,1904
Arete,U.S.A.,Ecuador,Costa Esmeraldas, ,70%,3,satisfactory,2016,1904
Arete,U.S.A.,Guatemala,Lachua, ,70%,3,satisfactory,2016,1904
Arete,U.S.A.,Nicaragua,Rugoso, ,70%,3.75,Praiseworthy,2016,1904
Arete,U.S.A.,Honduras,"La Masica, FHIA", ,70%,3,satisfactory,2016,1908
Arete,U.S.A.,Costa Rica,"Coto Brus, Terciopelo", ,70%,4,Premium,2016,1908
Arete,U.S.A.,Peru,Phantom,Forastero (Nacional),70%,4,Premium,2016,1924
Arete,U.S.A.,Dominican Republic,Elvesia, ,70%,3.75,Praiseworthy,2016,1928
Arete,U.S.A.,Fiji,Matasawalevu, ,70%,3,satisfactory,2016,1928
Arete,U.S.A.,Vietnam,Lam Dong, ,73%,3,satisfactory,2016,1928
Arete,U.S.A.,Brazil,Fazenda Camboa, ,70%,3,satisfactory,2015,1534
Arete,U.S.A.,Peru,Nacional,Forastero (Nacional),68%,3,satisfactory,2015,1534
Arete,U.S.A.,Ecuador,"Puerto Quito, heirloom",Forastero (Nacional),70%,3.75,Praiseworthy,2015,1534
Arete,U.S.A.,Dominican Republic,Oko Caribe, ,70%,3,satisfactory,2015,1598
Arete,U.S.A.,Belize,Maya Mountain,Trinitario,70%,3.75,Praiseworthy,2015,1598
Arete,U.S.A.,Nicaragua,Chuno,"Criollo, Trinitario",70%,4,Premium,2015,1598
Arete,U.S.A.,Brazil,Fazenda Camboa, ,75%,3,satisfactory,2015,1602
Arete,U.S.A.,Guatemala,Guatemala, ,70%,3,satisfactory,2015,1602
Arete,U.S.A.,Ecuador,Camino Verde, ,75%,3,satisfactory,2015,1602
Artisan du Chocolat,U.K.,Trinidad,"Trinidad, Heritage, Limited ed.",Trinitario,72%,3,satisfactory,2013,1193
Artisan du Chocolat,U.K.,Colombia,"Colombia, Casa Luker", ,72%,3.75,Praiseworthy,2012,947
Artisan du Chocolat,U.K.,Haiti,Haiti, ,72%,4,Premium,2011,729
Artisan du Chocolat,U.K.,Panama,Panama, ,72%,3,satisfactory,2011,745
Artisan du Chocolat,U.K.,Venezuela,Venezuela, ,100%,2,Disappointing,2010,486
Artisan du Chocolat,U.K.,Jamaica,Jamaica,Trinitario,72%,3.75,Praiseworthy,2010,531
Artisan du Chocolat,U.K.,Costa Rica,Costa Rica, ,72%,3,satisfactory,2010,600
Artisan du Chocolat,U.K.,Vietnam,Ba Ria Vung Tau Province,Trinitario,72%,3,satisfactory,2010,600
Artisan du Chocolat,U.K.,Indonesia,Bali, ,72%,3,satisfactory,2010,600
Artisan du Chocolat,U.K.,Venezuela,"Ocumare, Venezuela","Criollo, Trinitario",75%,2,Disappointing,2009,355
Artisan du Chocolat,U.K.,Indonesia,Java,Trinitario,72%,3,satisfactory,2009,355
Artisan du Chocolat,U.K.,Brazil,Brazil Rio Doce, ,72%,2,Disappointing,2009,363
Artisan du Chocolat,U.K.,Madagascar,Madagascar,"Criollo, Trinitario",80%,3,satisfactory,2009,363
Artisan du Chocolat,U.K.,Peru,Peru,Criollo,75%,3,satisfactory,2009,363
Artisan du Chocolat,U.K.,Dominican Republic,Dominican Republic,Trinitario,72%,3,satisfactory,2009,363
Artisan du Chocolat,U.K.,Congo,Congo,Forastero,72%,3.75,Praiseworthy,2008,300
Artisan du Chocolat ,U.K.,Colombia,"Orinoqua Region, Arauca",Trinitario,72%,3,satisfactory,2013,1181
Askinosie,U.S.A.,Tanzania,Mababa,Trinitario,68%,3.75,Praiseworthy,2016,1780
Askinosie,U.S.A.,Tanzania,"Tenende, Uwate",Trinitario,72%,3.75,Praiseworthy,2011,647
Askinosie,U.S.A.,Honduras,Cortes,Trinitario,70%,3.75,Praiseworthy,2011,661
Askinosie,U.S.A.,Philippines,Davao,Trinitario,77%,3.75,Praiseworthy,2009,331
Askinosie,U.S.A.,Mexico,Xoconusco,Trinitario,75%,2,Disappointing,2007,141
Askinosie,U.S.A.,Ecuador,San Jose del Tambo,Forastero (Arriba),70%,3,satisfactory,2007,175
Bahen & Co.,Australia, ,Houseblend, ,80%,3,satisfactory,2015,1474
Bahen & Co.,Australia,Papua New Guinea,Papua New Guinea, ,70%,3,satisfactory,2015,1474
Bahen & Co.,Australia,Madagascar,Sambirano,Trinitario,70%,3,satisfactory,2012,995
Bahen & Co.,Australia,Brazil,Bahia, ,70%,2,Disappointing,2012,999
Bahen & Co.,Australia, ,Houseblend,Blend,70%,2,Disappointing,2012,999
Bakau,Peru,Peru,"Bambamarca, 2015", ,70%,3,satisfactory,2015,1454
Bakau,Peru,Peru,"Huallabamba, 2015", ,70%,3,satisfactory,2015,1454
Bar Au Chocolat,U.S.A.,Brazil,Bahia, ,70%,3,satisfactory,2015,1554
Bar Au Chocolat,U.S.A.,Peru,Maranon Canyon,Forastero (Nacional),70%,4,Premium,2014,1295
Bar Au Chocolat,U.S.A.,Dominican Republic,Duarte Province, ,70%,3,satisfactory,2012,983
Bar Au Chocolat,U.S.A.,Mexico,Chiapas, ,70%,3,satisfactory,2012,983
Bar Au Chocolat,U.S.A.,Madagascar,Sambirano,Trinitario,70%,3.75,Praiseworthy,2012,983
Baravelli's,Wales,Costa Rica,single estate, ,80%,3,satisfactory,2012,955
Batch,U.S.A.,Dominican Republic,"Dominican Republic, Batch 3", ,65%,3,satisfactory,2016,1840
Batch,U.S.A.,Brazil,Brazil, ,70%,3.75,Praiseworthy,2016,1868
Batch,U.S.A.,Ecuador,Ecuador, ,65%,3,satisfactory,2016,1880
Beau Cacao,U.K.,Malaysia,"Asajaya E, NW Borneo, b. #132/4500", ,73%,3,satisfactory,2017,1948
Beau Cacao,U.K.,Malaysia,"Serian E., NW Borneo, b. #134/3800", ,72%,3,satisfactory,2017,1948
Beehive,U.S.A.,Brazil,"Brazil, Batch 20316", ,80%,3,satisfactory,2016,1784
Beehive,U.S.A.,Dominican Republic,"Dominican Republic, Batch 31616", ,70%,3,satisfactory,2016,1784
Beehive,U.S.A.,Ecuador,"Ecuador, Batch 31516", ,70%,3,satisfactory,2016,1784
Beehive,U.S.A.,Ecuador,Ecuador, ,90%,3,satisfactory,2016,1788
Belcolade,Belgium,Costa Rica,Costa Rica, ,64%,3,satisfactory,2010,586
Belcolade,Belgium,Papua New Guinea,Papua New Guinea, ,64%,3,satisfactory,2010,586
Belcolade,Belgium,Peru,Peru, ,64%,3,satisfactory,2010,586
Belcolade,Belgium,Ecuador,Ecuador, ,71%,3,satisfactory,2010,586
Bellflower,U.S.A.,Tanzania,"Kakao Kamili, Kilombero Valley","Criollo, Trinitario",70%,3,satisfactory,2016,1800
Bellflower,U.S.A.,Bolivia,"Alto Beni, Palos Blanco", ,70%,3,satisfactory,2016,1804
Bellflower,U.S.A.,Dominican Republic,"Oko Caribe, Duarte P.", ,70%,3,satisfactory,2016,1864
Belyzium,Germany,Belize,"Belize south, low fermentation",Trinitario,83%,3,satisfactory,2016,1768
Belyzium,Germany,Belize,Belize south,Trinitario,78%,3,satisfactory,2016,1768
Belyzium,Germany,Belize,Belize south,Trinitario,83%,3,satisfactory,2016,1768
Benoit Nihant,Belgium,Cuba,Baracoa,Trinitario,74%,3,satisfactory,2013,1141
Benoit Nihant,Belgium,Venezuela,Chuao,Criollo,74%,3,satisfactory,2013,1141
Benoit Nihant,Belgium,Venezuela,Cuyagua Village,Criollo,74%,3,satisfactory,2013,1141
Benoit Nihant,Belgium,Ecuador,Rio Peripa H.,Trinitario,73%,4,Premium,2013,1141
Benoit Nihant,Belgium,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",Trinitario,72%,4,Premium,2011,757
Benoit Nihant,Belgium,Madagascar,"Somia Plantation, Sambirano, 70hr C",Trinitario,72%,3.75,Praiseworthy,2011,773
Bernachon,France, ,Nature, ,55%,3,satisfactory,2012,797
Beschle (Felchlin),Switzerland,Madagascar,Madagascar,Trinitario,64%,3,satisfactory,2011,636
Beschle (Felchlin),Switzerland,Venezuela,Maracaibo,Criollo,88%,3,satisfactory,2011,636
Beschle (Felchlin),Switzerland,Venezuela,"Indigena Amazonia, Grand Cru, Quizas", ,72%,3,satisfactory,2011,636
Beschle (Felchlin),Switzerland,Ecuador,Ecuador, ,72%,4,Premium,2011,636
Beschle (Felchlin),Switzerland,Venezuela,"Carenero S., Barlovento, Grand Cru",Trinitario,70%,3,satisfactory,2010,508
Beschle (Felchlin),Switzerland,Venezuela,"Porcelana, Premier Cru, Quizas No. 1",Criollo (Porcelana),74%,3,satisfactory,2010,508
Beschle (Felchlin),Switzerland,Indonesia,"Java, Grand Cru", ,64%,3,satisfactory,2010,508
Beschle (Felchlin),Switzerland,Venezuela,"Ocumare, Premier Cru, Quizas No. 2", ,72%,3,satisfactory,2010,508
Bisou,U.S.A.,Nicaragua,"Nicaragua, American style", ,76%,2,Disappointing,2015,1482
Bisou,U.S.A.,Costa Rica,"San Andres, American style", ,76%,2,Disappointing,2015,1486
Bisou,U.S.A.,Costa Rica,"San Andres, silk", ,78%,2,Disappointing,2015,1486
Bisou,U.S.A.,Belize,Belize,Trinitario,86%,3,satisfactory,2015,1486
Bittersweet Origins,U.S.A.,Ghana,Ghana,Forastero,72%,3,satisfactory,2012,963
Bittersweet Origins,U.S.A.,Indonesia,"Bali, Singaraja", ,75%,3,satisfactory,2010,478
Bittersweet Origins,U.S.A.,Dominican Republic,2009 Hapa Nibby,Blend,70%,3.75,Praiseworthy,2010,502
Bittersweet Origins,U.S.A.,Indonesia,"Bali, Singaraja", ,65%,3,satisfactory,2010,558
Bittersweet Origins,U.S.A.,Madagascar,"Sambirano, 2009",Trinitario,70%,3,satisfactory,2010,565
Bittersweet Origins,U.S.A.,Venezuela,"Ocumare, prototype",Criollo,78%,3,satisfactory,2010,565
Bittersweet Origins,U.S.A.,Dominican Republic,Puerto Plata, ,75%,3,satisfactory,2009,414
Bittersweet Origins,U.S.A.,Dominican Republic,Puerto Plata, ,65%,3,satisfactory,2009,414
Bittersweet Origins,U.S.A.,Madagascar,Sambirano,Trinitario,75%,3,satisfactory,2009,423
Bittersweet Origins,U.S.A.,Madagascar,Sambirano,Trinitario,65%,3,satisfactory,2009,431
Bittersweet Origins,U.S.A.,Madagascar,Sambirano,Trinitario,71%,3,satisfactory,2008,233
Bittersweet Origins,U.S.A.,Panama,Bocas del Toro, ,75%,3,satisfactory,2008,233
Bittersweet Origins,U.S.A.,Dominican Republic,Puerto Plata, ,68%,3.75,Praiseworthy,2008,233
Bittersweet Origins,U.S.A.,Ghana,Ankasa,Forastero,70%,3,satisfactory,2008,256
Black Mountain,U.S.A.,Dominican Republic,La Red, ,70%,3,satisfactory,2008,256
Black Mountain,U.S.A.,Venezuela,Carenero Superior,Trinitario,70%,3,satisfactory,2008,256
Black Mountain,U.S.A.,Nicaragua,Matiguas, ,70%,3,satisfactory,2008,256
Black River (A. Morin),U.K.,Jamaica,Blue Mountain Region,Trinitario,70%,3,satisfactory,2014,1331
Blanxart,Spain,Congo,"Congo, Grand Cru",Forastero,82%,3,satisfactory,2013,1046
Blanxart,Spain, ,Organic Dark, ,72%,3,satisfactory,2009,322
Blue Bandana,U.S.A.,Madagascar,"Akesson's E., Sambirano V.",Trinitario,82%,3,satisfactory,2016,1740
Blue Bandana,U.S.A.,Guatemala,Lachua, ,75%,3,satisfactory,2016,1752
Blue Bandana,U.S.A.,Tanzania,Kokoa Kamili, ,75%,3,satisfactory,2016,1752
Blue Bandana,U.S.A.,Dominican Republic,Zorzal Reserva, ,75%,3,satisfactory,2016,1756
Blue Bandana,U.S.A.,Guatemala,Guatemala, ,70%,3,satisfactory,2012,911
Blue Bandana,U.S.A.,Madagascar,Madagascar,Trinitario,70%,3.75,Praiseworthy,2012,911
Bonnat,France,Mexico,Selva Maya, ,75%,3,satisfactory,2016,1912
Bonnat,France,Brazil,Kaori, ,75%,4,Premium,2014,1339
Bonnat,France,Dominican Republic,"Los Colorados, Santo Domingo, Equateur", ,75%,3,satisfactory,2014,1418
Bonnat,France,Venezuela,Surfin, ,65%,3.75,Praiseworthy,2014,1418
Bonnat,France,Brazil,Maragnam, ,75%,3,satisfactory,2013,1038
Bonnat,France,Gabon,Gabon, ,75%,3,satisfactory,2013,1042
Bonnat,France,Cuba,Cuba,Trinitario,75%,3,satisfactory,2011,629
Bonnat,France,Peru,"Cusco, Cacao Cusco", ,75%,3,satisfactory,2011,629
Bonnat,France,Peru,Piura Blanco,Forastero (Nacional),75%,3,satisfactory,2011,629
Bonnat,France,Brazil,Libanio, ,75%,3.75,Praiseworthy,2011,629
Bonnat,France,Haiti,Haiti, ,75%,4,Premium,2011,629
Bonnat,France,Madagascar,"Madagascar, 100% criollo",Criollo,75%,4,Premium,2011,629
Bonnat,France,Brazil,Juliana, ,75%,3,satisfactory,2011,672
Bonnat,France,Jamaica,Jamaique,Trinitario,75%,3,satisfactory,2011,761
Bonnat,France,Ivory Coast,Ivory Coast, ,75%,3,satisfactory,2009,331
Bonnat,France,Peru,"Porcelana, Apotequil",Criollo,75%,3,satisfactory,2009,336
Bonnat,France,Mexico,"Porcelana, Tabasco, Marfil de Blanco",Criollo,75%,3,satisfactory,2009,336
Bonnat,France,Mexico,"Xoconusco, cacao Real",Criollo,75%,3,satisfactory,2009,395
Bonnat,France,Venezuela,"Porcelana, Venezuela",Criollo (Porcelana),75%,4,Premium,2008,199
Bonnat,France,Ecuador,Equateur,Forastero (Arriba),75%,2,Disappointing,2007,123
Bonnat,France,Carribean,Trinite,Trinitario,75%,3.75,Praiseworthy,2006,24
Bonnat,France,Venezuela,"Ocumare, Puerto Cabello", ,75%,4,Premium,2006,32
Bonnat,France,Venezuela,"Maracaibo, El Rosario",Criollo,75%,4,Premium,2006,48
Bonnat,France,Madagascar,Madagascar,Trinitario,75%,4,Premium,2006,75
Bonnat,France, ,One Hundred, ,100%,1,Unpleasant,2006,81
Bonnat,France,Sri Lanka,Ceylan, ,75%,3,satisfactory,2006,81
Bonnat,France,Venezuela,Chuao,Trinitario,75%,4,Premium,2006,81
Bouga Cacao (Tulicorp),Ecuador,Ecuador,"El Oro, Hacienda de Oro",Forastero (Arriba),77%,3,satisfactory,2009,316
Bouga Cacao (Tulicorp),Ecuador,Ecuador,"El Oro, Hacienda de Oro",Forastero (Arriba),100%,1,Unpleasant,2009,341
Bowler Man,U.S.A.,Belize,Maya Mountain,Trinitario,70%,3,satisfactory,2014,1267
Bowler Man,U.S.A.,Dominican Republic,Conacado, ,70%,3,satisfactory,2014,1271
Brasstown aka It's Chocolate,U.S.A.,Venezuela,"Guasare, Zulia Prov.",Criollo,70%,3,satisfactory,2016,1868
Brasstown aka It's Chocolate,U.S.A.,Nicaragua,"O'payo, Waslala", ,70%,3.75,Praiseworthy,2016,1868
Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,Conacado, ,68%,3.75,Praiseworthy,2015,1462
Brasstown aka It's Chocolate,U.S.A.,Belize,Maya Mountain,Trinitario,70%,3.75,Praiseworthy,2014,1255
Brasstown aka It's Chocolate,U.S.A.,Venezuela,Chuao,Trinitario,70%,4,Premium,2014,1355
Brasstown aka It's Chocolate,U.S.A.,Dominican Republic,Cooproagro,Trinitario,72%,3,satisfactory,2013,1125
Brasstown aka It's Chocolate,U.S.A.,Ecuador,"Camino Verde, Guayas", ,70%,3,satisfactory,2013,1125
Brasstown aka It's Chocolate,U.S.A.,Ghana,Ghana,Forastero,75%,3,satisfactory,2013,1129
Brasstown aka It's Chocolate,U.S.A.,Venezuela,"Chuao, Mantuano blend",Trinitario,85%,3,satisfactory,2013,1129
Brazen,U.S.A.,Dominican Republic,Elvesia P., ,60%,3,satisfactory,2015,1514
Brazen,U.S.A.,Dominican Republic,Elvesia P., ,80%,3,satisfactory,2015,1514
Brazen,U.S.A.,Guatemala,"Alta Verapaz, 2014", ,70%,3,satisfactory,2015,1514
Brazen,U.S.A.,Madagascar,Ambolikapiky P., ,80%,3,satisfactory,2015,1518
Brazen,U.S.A.,Belize,Maya Mountain,Trinitario,80%,3,satisfactory,2015,1518
Brazen,U.S.A.,Madagascar,Ambolikapkly P., ,60%,3,satisfactory,2015,1518
Breeze Mill,U.S.A.,Jamaica,Jamaica,Trinitario,70%,3,satisfactory,2013,1149
Bright,Australia,Madagascar,Somia Plantation,Trinitario,72%,3,satisfactory,2014,1231
Bright,Australia,Dominican Republic,Marabel Farms, ,70%,3,satisfactory,2014,1231
Bright,Australia,Ecuador,"Camino Verde, Balao, Guayas", ,72%,3,satisfactory,2014,1231
Bright,Australia,Trinidad,Gran Couva,Trinitario,68%,3,satisfactory,2014,1235
Britarev,Russia,Ecuador,Ecuador, ,70%,3,satisfactory,2015,1638
Bronx Grrl Chocolate,U.S.A.,Dominican Republic,Dominican Republic, ,68%,3,satisfactory,2013,1181
Burnt Fork Bend,U.S.A.,Trinidad,Trinidad,Trinitario,72%,3,satisfactory,2014,1299
Burnt Fork Bend,U.S.A.,Ecuador,Mindo, ,72%,3,satisfactory,2014,1299
Burnt Fork Bend,U.S.A.,Belize,Belize,Trinitario,72%,3,satisfactory,2014,1303
Burnt Fork Bend,U.S.A., ,Blend,Blend,72%,3,satisfactory,2014,1303
Burnt Fork Bend,U.S.A.,Ecuador,"Ecuador, Bob Bar", ,60%,2,Disappointing,2014,1323
Cacao Arabuco,Puerto Rico,Puerto Rico,Puerto Rico, ,70%,2,Disappointing,2015,1606
Cacao Atlanta,U.S.A.,Peru,Tumbes,Criollo,75%,2,Disappointing,2014,1215
Cacao Atlanta,U.S.A.,Dominican Republic,"Dominican Republic, ""Love Bar""", ,75%,2,Disappointing,2010,502
Cacao Atlanta,U.S.A.,Dominican Republic,Dominican Republic w/ nibs, ,75%,3,satisfactory,2010,502
Cacao Atlanta,U.S.A.,Venezuela,Patanemo, ,75%,2,Disappointing,2010,600
Cacao Barry,France,Haiti,Grand 'Anse,"Trinitario, Criollo",65%,3,satisfactory,2016,1716
